traj_id,task,agent,model,reward,n_steps,placeholder_frac,max_msg_repeat_frac,no_tool_frac,exclude
circuit-fibsqrt__RU3H6JY,circuit-fibsqrt,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,0,81,0.21,0.012,0.049,False
custom-memory-heap-crash__88eETYj,custom-memory-heap-crash,terminus-2,minimax-m2.5@Minimax,1,25,0.2,0.04,0.04,True
crack-7z-hash__7LCeB3K,crack-7z-hash,mini-swe-agent,grok-4-0709@xai,0,30,0.5,0.033,0.033,False
headless-terminal__gqhbV9d,headless-terminal,openhands,gpt-5@openai,1,54,0.167,0.227,0.056,False
filter-js-from-html__zY9V8Dm,filter-js-from-html,codex,gpt-5-nano@openai,0,7,0.0,0.143,0.714,True
compile-compcert__zRMJVty,compile-compcert,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,0,863,0.006,0.469,0.001,True
chess-best-move__i3EgqEa,chess-best-move,openhands,grok-4-0709@xai,0,21,0.095,0.048,0.048,True
fix-ocaml-gc__YBKSDf8,fix-ocaml-gc,claude-code,claude-sonnet-4-5-20250929@anthropic,1,59,0.356,0.034,0.356,False
compile-compcert__CwTWoyk,compile-compcert,openhands,gemini-2.5-pro@gemini,1,74,0.176,0.095,0.014,False
extract-elf__RMKUc9p,extract-elf,gemini-cli,gemini-2.5-pro@gemini,0,21,0.143,0.048,0.095,True
caffe-cifar-10__mCdvfc4,caffe-cifar-10,claude-code,claude-opus-4-6@anthropic,0,40,0.375,0.025,0.3,False
circuit-fibsqrt__U3zddpS,circuit-fibsqrt,claude-code,claude-sonnet-4-5-20250929@anthropic,0,117,0.299,0.017,0.393,False
build-pmars__jmzHYcN,build-pmars,codex,gpt-5@openai,1,18,0.389,0.056,0.278,True
build-cython-ext__oqG3pQP,build-cython-ext,mini-swe-agent,grok-code-fast-1@xai,0,65,0.277,0.031,0.015,False
gcode-to-text__RXRW2Ua,gcode-to-text,claude-code,claude-haiku-4-5-20251001@anthropic,0,16,0.062,0.125,0.688,True
build-pov-ray__hqWsVx5,build-pov-ray,terminus-2,claude-opus-4-1-20250805@anthropic,0,201,0.025,0.144,0.706,False
extract-elf__ZxqyF7R,extract-elf,claude-code,claude-opus-4-6@anthropic,1,17,0.294,0.059,0.353,True
git-leak-recovery__u6PiB6y,git-leak-recovery,terminus-3-3,gemini-3.1-pro-preview@Google,1,9,0.222,1.0,0.111,True
log-summary-date-ranges__E35dF7E,log-summary-date-ranges,openhands,gpt-5-mini@openai,1,10,0.3,0.1,0.1,True
adaptive-rejection-sampler__PeBg53F,adaptive-rejection-sampler,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,1,56,0.036,0.036,0.089,False
llm-inference-batching-scheduler__q8jqgyB,llm-inference-batching-scheduler,claude-code,minimax-m2.1@minimax,1,66,0.667,0.03,0.242,True
financial-document-processor__zWczEPt,financial-document-processor,codex,gpt-5-codex@openai,0,28,0.143,0.036,0.107,True
code-from-image__Et5RbML,code-from-image,terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,1,66,0.0,0.227,0.015,False
circuit-fibsqrt__ktXHywF,circuit-fibsqrt,deepagent-harbor,gpt-5.2-codex@openai,1,21,0.19,0.5,0.095,True
filter-js-from-html__zDKQFVS,filter-js-from-html,gemini-cli,gemini-2.5-flash@gemini,0,27,0.222,0.5,0.074,True
large-scale-text-editing__aepgTSa,large-scale-text-editing,terminus-3-3,gemini-3.1-pro-preview@Google,1,26,0.077,1.0,0.038,True
git-multibranch__uPcGPiH,git-multibranch,codex,gpt-5-codex@openai,1,52,0.038,0.019,0.058,False
headless-terminal__XZYapGJ,headless-terminal,gemini-cli,gemini-2.5-pro@gemini,1,6,0.167,0.167,0.333,True
build-pov-ray__LZjGEeB,build-pov-ray,claude-code,claude-sonnet-4-5-20250929@anthropic,0,165,0.097,0.012,0.503,False
gpt2-codegolf__sNESAXC,gpt2-codegolf,terminus-3-3,claude-opus-4-6@anthropic,0,34,0.559,1.0,0.029,True
git-leak-recovery__Puuh9T8,git-leak-recovery,judy,claude-opus-4.6@anthropic,1,33,0.0,0.056,0.242,False
fix-code-vulnerability__HhNokNW,fix-code-vulnerability,deepagent-harbor,gpt-5.2-codex@openai,1,58,0.5,0.333,0.052,False
crack-7z-hash__AuBn9mC,crack-7z-hash,mini-swe-agent,gemini-2.5-flash@gemini,0,208,0.096,0.087,0.005,False
configure-git-webserver__rr6NV5u,configure-git-webserver,openhands,claude-haiku-4-5-20251001@anthropic,1,177,0.011,0.38,0.678,False
large-scale-text-editing__d4gL6Yb,large-scale-text-editing,mini-swe-agent,claude-opus-4-1-20250805@anthropic,1,63,0.016,0.016,0.016,False
db-wal-recovery__6nzz2fq,db-wal-recovery,codex,gpt-5-codex@openai,0,117,0.043,0.009,0.017,False
filter-js-from-html__vrnCJJv,filter-js-from-html,terminus-3-3,gemini-3.1-pro-preview@Google,0,14,0.571,0.5,0.143,True
compile-compcert__FBXjiEo,compile-compcert,deepagent-harbor,gpt-5.2-codex@openai,1,107,0.327,0.5,0.019,True
db-wal-recovery__D6VknNC,db-wal-recovery,gemini-cli,gemini-2.5-pro@gemini,0,65,0.108,0.015,0.015,False
build-pov-ray__ScQFGVZ,build-pov-ray,gemini-cli,gemini-2.5-flash@gemini,1,36,0.389,0.5,0.056,True
break-filter-js-from-html__ydByLdJ,break-filter-js-from-html,claude-code,claude-opus-4-5-20251101@anthropic,1,214,0.061,0.009,0.369,False
configure-git-webserver__Noh5oyF,configure-git-webserver,deepagent-harbor,gpt-5.2-codex@openai,0,45,0.067,0.333,0.067,False
filter-js-from-html__Ekid3Ka,filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,0,21,0.048,0.333,0.143,True
chess-best-move__BjEPAPq,chess-best-move,judy,claude-opus-4.6@anthropic,0,34,0.029,0.048,0.235,False
llm-inference-batching-scheduler__HgoRnWp,llm-inference-batching-scheduler,terminus-3-3,gemini-3.1-pro-preview@Google,1,76,0.263,1.0,0.013,True
extract-moves-from-video__tNux53H,extract-moves-from-video,terminus-3-3,gemini-3.1-pro-preview@Google,0,62,0.532,1.0,0.016,True
count-dataset-tokens__uuLnxHA,count-dataset-tokens,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,0,12,0.667,0.083,0.083,True
llm-inference-batching-scheduler__tMBAfES,llm-inference-batching-scheduler,terminus-2,deepseek-v3.2@deepseek,1,22,0.864,0.045,0.045,True
count-dataset-tokens__xiUNYAd,count-dataset-tokens,mini-swe-agent,gemini-2.5-pro@gemini,0,14,0.571,0.071,0.071,True
financial-document-processor__zYAp6vR,financial-document-processor,terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,0,29,0.0,0.034,0.034,True
extract-elf__CwHYevA,extract-elf,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,0,98,0.0,0.054,0.01,False
fix-git__RUUHZqq,fix-git,mini-swe-agent,gpt-5-mini@openai,1,5,0.4,0.2,0.2,True
extract-elf__Mbjp6ma,extract-elf,openhands,claude-opus-4-5-20251101@anthropic,0,32,0.25,0.094,0.031,False
feal-linear-cryptanalysis__WtM85TB,feal-linear-cryptanalysis,terminus-2,claude-opus-4-1-20250805@anthropic,0,132,0.068,0.03,0.826,False
break-filter-js-from-html__7CQsZNc,break-filter-js-from-html,terminus-2,claude-opus-4-5-20251101@anthropic,1,49,0.143,0.02,0.0,False
feal-linear-cryptanalysis__NPranwf,feal-linear-cryptanalysis,mini-swe-agent,claude-opus-4-1-20250805@anthropic,0,37,0.459,0.027,0.027,False
break-filter-js-from-html__qAs7yeH,break-filter-js-from-html,openhands,claude-opus-4-5-20251101@anthropic,1,52,0.25,0.154,0.019,False
git-multibranch__5m4jvep,git-multibranch,codex,gpt-5-mini@openai,0,8,0.0,0.125,0.5,True
cobol-modernization__nXMy8tC,cobol-modernization,openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,0,209,0.0,0.095,0.01,False
gcode-to-text__gnBVMcF,gcode-to-text,openhands,gemini-2.5-pro@gemini,0,22,0.045,0.227,0.045,True
largest-eigenval__9ATHvEs,largest-eigenval,claude-code,claude-opus-4-5-20251101@anthropic,1,32,0.156,0.062,0.5,False
fix-code-vulnerability__DEUYQgY,fix-code-vulnerability,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,1,130,0.169,0.074,0.008,False
cobol-modernization__VusypPQ,cobol-modernization,gemini-cli,gemini-2.5-flash@gemini,0,7,0.143,0.333,0.429,True
dna-assembly__iNUjV3p,dna-assembly,claude-code,claude-opus-4-1-20250805@anthropic,0,45,0.333,0.044,0.489,False
circuit-fibsqrt__3WphzND,circuit-fibsqrt,claude-code,claude-sonnet-4-5-20250929@anthropic,0,128,0.227,0.016,0.438,False
fix-git__U8ZCogn,fix-git,codex,gpt-5-nano@openai,1,18,0.222,0.056,0.389,True
largest-eigenval__zbZdMa7,largest-eigenval,mini-swe-agent,gemini-2.5-pro@gemini,0,64,0.172,0.016,0.016,False
chess-best-move__jERTtGt,chess-best-move,claude-code,claude-haiku-4-5-20251001@anthropic,0,18,0.167,0.111,0.778,True
mailman__Hbif6Wh,mailman,terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,0,176,0.0,0.011,0.006,False
fix-git__aR6uzip,fix-git,claude-code,claude-sonnet-4-5-20250929@anthropic,1,22,0.091,0.091,0.545,True
configure-git-webserver__oPPkYyt,configure-git-webserver,terminus-3-3,gemini-3.1-pro-preview@Google,1,7,0.571,1.0,0.143,True
git-leak-recovery__oc88Yng,git-leak-recovery,openhands,gpt-5@openai,1,14,0.071,0.071,0.214,True
distribution-search__Bm9sXit,distribution-search,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,1,25,0.28,0.04,0.04,True
feal-differential-cryptanalysis__WrYCeFB,feal-differential-cryptanalysis,claude-code,claude-sonnet-4-5-20250929@anthropic,1,106,0.179,0.019,0.245,False
large-scale-text-editing__WKDTGQt,large-scale-text-editing,codex,gpt-5-mini@openai,0,42,0.024,0.024,0.119,False
fix-ocaml-gc__r3QetQZ,fix-ocaml-gc,terminus-2,gemini-2.5-pro@gemini,1,112,0.884,0.056,0.08,True
fix-git__fUyWR5j,fix-git,deepagent-harbor,gpt-5.2-codex@openai,1,18,0.0,0.333,0.167,True
build-cython-ext__J7gaDEV,build-cython-ext,gemini-cli,gemini-2.5-pro@gemini,0,44,0.477,0.068,0.023,False
count-dataset-tokens__7im7C32,count-dataset-tokens,terminus-3-3,gemini-3.1-pro-preview@Google,1,28,0.536,0.5,0.071,True
compile-compcert__fWmL9Lr,compile-compcert,codex,gpt-5@openai,1,44,0.386,0.023,0.091,False
git-leak-recovery__kWmRmvA,git-leak-recovery,gemini-cli,gemini-2.5-pro@gemini,1,12,0.167,0.083,0.167,True
circuit-fibsqrt__EPa4xDv,circuit-fibsqrt,claude-code,minimax-m2.1@minimax,0,307,0.394,0.007,0.274,False
caffe-cifar-10__QjgSJa5,caffe-cifar-10,terminus-3-3,claude-opus-4-6@anthropic,0,47,0.128,1.0,0.021,True
build-pmars__JZxx3PQ,build-pmars,judy,claude-opus-4.6@anthropic,1,45,0.133,0.029,0.178,False
fix-code-vulnerability__iinoefA,fix-code-vulnerability,deepagent-harbor,gpt-5.2-codex@openai,1,30,0.567,0.333,0.1,True
fix-ocaml-gc__HsBH2vg,fix-ocaml-gc,mini-swe-agent,gemini-2.5-flash@gemini,0,260,0.454,0.012,0.008,False
circuit-fibsqrt__GAT6ThK,circuit-fibsqrt,openhands,claude-sonnet-4-5-20250929@anthropic,1,152,0.039,0.051,0.007,False
compile-compcert__HdLYYUj,compile-compcert,mini-swe-agent,grok-4-0709@xai,1,63,0.476,0.016,0.016,False
dna-assembly__heLZHNt,dna-assembly,codex,gpt-5-codex@openai,0,61,0.164,0.016,0.049,False
dna-insert__4C6LJf2,dna-insert,terminus-3-3,claude-opus-4-6@anthropic,0,24,0.625,1.0,0.042,True
build-cython-ext__6fvQEQz,build-cython-ext,deepagent-harbor,gpt-5.2-codex@openai,1,85,0.247,0.5,0.024,True
build-cython-ext__EFE3bX6,build-cython-ext,gemini-cli,gemini-2.5-flash@gemini,0,119,0.513,0.5,0.017,True
configure-git-webserver__yfT2XdX,configure-git-webserver,gemini-cli,gemini-2.5-pro@gemini,1,31,0.161,0.065,0.065,False
build-pov-ray__QzYDZAz,build-pov-ray,claude-code,claude-opus-4-1-20250805@anthropic,1,207,0.155,0.01,0.469,False
filter-js-from-html__fyQ3US5,filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,0,28,0.143,0.333,0.107,True
extract-elf__oVFtoWT,extract-elf,deepagent-harbor,gpt-5.2-codex@openai,0,20,0.15,0.333,0.15,True
dna-insert__WijVzyG,dna-insert,judy,claude-opus-4.6@anthropic,0,38,0.211,0.037,0.211,False
crack-7z-hash__7bLF7na,crack-7z-hash,terminus-3-3,gemini-3.1-pro-preview@Google,1,61,0.295,1.0,0.016,True
largest-eigenval__CEG4jrG,largest-eigenval,terminus-2,gemini-2.5-flash@gemini,0,8,0.875,0.125,0.125,True
bn-fit-modify__omHzUWk,bn-fit-modify,terminus-2,gpt-5-codex@openai,1,11,0.182,0.091,0.091,True
gcode-to-text__o88RYWp,gcode-to-text,mini-swe-agent,openai/gpt-oss-20b@together_ai,0,4,0.0,0.25,0.25,True
custom-memory-heap-crash__zNkFKis,custom-memory-heap-crash,terminus-2,gpt-5-nano@openai,0,44,0.909,0.024,0.068,True
db-wal-recovery__TURzMb6,db-wal-recovery,openhands,claude-opus-4-5-20251101@anthropic,0,137,0.088,0.022,0.007,False
adaptive-rejection-sampler__aJ5yWGF,adaptive-rejection-sampler,mini-swe-agent,openai/gpt-oss-120b@together_ai,1,6,0.167,0.167,0.333,True
build-pmars__nWMLPku,build-pmars,openhands,grok-4-0709@xai,0,57,0.105,0.123,0.263,False
llm-inference-batching-scheduler__8cW5Wrv,llm-inference-batching-scheduler,terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,0,76,0.0,0.026,0.013,False
custom-memory-heap-crash__vKYM3KT,custom-memory-heap-crash,terminus-2,claude-sonnet-4-5-20250929@anthropic,1,33,0.485,0.03,0.03,False
compile-compcert__CSKVbBN,compile-compcert,mini-swe-agent,openai/gpt-oss-120b@together_ai,0,31,0.452,0.033,0.065,False
hf-model-inference__tRG9SSX,hf-model-inference,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,1,56,0.0,0.036,0.018,False
circuit-fibsqrt__kMn9EZa,circuit-fibsqrt,codex,gpt-5-mini@openai,0,7,0.286,0.143,0.571,True
install-windows-3.11__Nrfihn8,install-windows-3.11,openhands,gpt-5-nano@openai,0,277,0.0,0.191,0.379,False
filter-js-from-html__MDxQ9bp,filter-js-from-html,openhands,gpt-5-nano@openai,0,8,0.0,0.167,0.125,True
configure-git-webserver__5Dn2jr5,configure-git-webserver,claude-code,minimax-m2.1@minimax,1,28,0.214,0.071,0.25,True
git-multibranch__jkkSnMT,git-multibranch,openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,1,122,0.0,0.077,0.008,False
db-wal-recovery__V3mPgZn,db-wal-recovery,gemini-cli,gemini-2.5-flash@gemini,0,18,0.056,0.5,0.111,True
dna-insert__AjtTTLM,dna-insert,claude-code,claude-sonnet-4-5-20250929@anthropic,0,57,0.333,0.035,0.421,False
make-doom-for-mips__5s4yRPN,make-doom-for-mips,claude-code,claude-opus-4-1-20250805@anthropic,0,137,0.438,0.015,0.394,False
bn-fit-modify__RxGsedi,bn-fit-modify,codex,gpt-5-mini@openai,1,11,0.0,0.091,0.455,True
fix-ocaml-gc__Cwm72SR,fix-ocaml-gc,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,0,149,0.389,0.02,0.007,False
gpt2-codegolf__o22hKiK,gpt2-codegolf,claude-code,claude-haiku-4-5-20251001@anthropic,0,8,0.125,0.25,0.875,True
distribution-search__yLo36Aq,distribution-search,terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,0,200,0.07,0.03,0.505,False
extract-elf__Nx7A4id,extract-elf,claude-code,minimax-m2.1@minimax,1,17,0.176,0.118,0.471,True
custom-memory-heap-crash__exBD9Bo,custom-memory-heap-crash,terminus-3-3,gemini-3.1-pro-preview@Google,1,16,0.75,1.0,0.062,True
cancel-async-tasks__QhP4o8s,cancel-async-tasks,openhands,gpt-5@openai,1,18,0.056,0.125,0.167,True
git-multibranch__qyz5zGt,git-multibranch,mini-swe-agent,claude-opus-4-1-20250805@anthropic,1,25,0.08,0.04,0.04,True
crack-7z-hash__9sUtnJC,crack-7z-hash,claude-code,claude-haiku-4-5-20251001@anthropic,1,77,0.143,0.026,0.532,False
db-wal-recovery__oFPNw2W,db-wal-recovery,codex,gpt-5-mini@openai,0,28,0.071,0.036,0.143,True
fix-code-vulnerability__A6fYirW,fix-code-vulnerability,terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,1,69,0.0,0.015,0.029,False
log-summary-date-ranges__tyf92DL,log-summary-date-ranges,deepagent-harbor,gpt-5.2-codex@openai,1,14,0.143,0.333,0.214,True
make-doom-for-mips__bgPWBUp,make-doom-for-mips,gemini-cli,gemini-2.5-pro@gemini,0,48,0.354,0.062,0.021,False
gcode-to-text__fzchhRk,gcode-to-text,terminus-3-3,claude-opus-4-6@anthropic,1,38,0.368,1.0,0.026,True
fix-ocaml-gc__nPmHKjP,fix-ocaml-gc,codex,gpt-5@openai,1,26,0.731,0.038,0.192,True
fix-code-vulnerability__qAHrcoH,fix-code-vulnerability,gemini-cli,gemini-2.5-flash@gemini,1,17,0.412,0.5,0.118,True
build-pov-ray__tTQdTfa,build-pov-ray,claude-code,claude-haiku-4-5-20251001@anthropic,0,298,0.285,0.007,0.426,False
gpt2-codegolf__LYnEfqB,gpt2-codegolf,terminus-3-3,gemini-3.1-pro-preview@Google,0,41,0.634,0.333,0.073,True
kv-store-grpc__QLGJUDb,kv-store-grpc,judy,claude-opus-4.6@anthropic,1,30,0.0,0.04,0.267,False
large-scale-text-editing__kMjp7EE,large-scale-text-editing,deepagent-harbor,gpt-5.2-codex@openai,1,36,0.0,0.333,0.083,False
dna-insert__aoxfDta,dna-insert,mini-swe-agent,openai/gpt-oss-20b@together_ai,0,180,0.0,0.933,0.967,True
cobol-modernization__rSJMNKt,cobol-modernization,openhands,claude-sonnet-4-5-20250929@anthropic,1,237,0.034,0.076,0.004,False
compile-compcert__uJ5V9yv,compile-compcert,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,1,146,0.158,0.021,0.007,False
db-wal-recovery__idAySnv,db-wal-recovery,codex,gpt-5-codex@openai,0,107,0.075,0.009,0.019,False
mailman__Pxg7nsb,mailman,terminus-3-3,claude-opus-4-6@anthropic,0,24,0.583,1.0,0.042,True
cobol-modernization__p3zk5B2,cobol-modernization,deepagent-harbor,gpt-5.2-codex@openai,1,73,0.027,0.333,0.041,False
make-doom-for-mips__UoAn4c7,make-doom-for-mips,gemini-cli,gemini-2.5-flash@gemini,0,87,0.276,0.5,0.023,True
cobol-modernization__z5LzhQ6,cobol-modernization,gemini-cli,gemini-2.5-pro@gemini,1,32,0.0,0.031,0.094,False
fix-ocaml-gc__iwgCb3z,fix-ocaml-gc,claude-code,claude-opus-4-1-20250805@anthropic,1,183,0.383,0.011,0.454,False
dna-insert__vKXR5XV,dna-insert,deepagent-harbor,gpt-5.2-codex@openai,0,35,0.171,0.333,0.086,False
filter-js-from-html__7nBuVhq,filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,0,13,0.154,0.333,0.231,True
financial-document-processor__ztbEWPw,financial-document-processor,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,0,18,0.333,0.056,0.056,True
build-pmars__ZZeHsHB,build-pmars,terminus-2,claude-haiku-4-5-20251001@anthropic,1,14,0.786,0.071,0.071,True
financial-document-processor__3BW5vw3,financial-document-processor,mini-swe-agent,openai/gpt-oss-120b@together_ai,0,3,0.0,0.333,0.333,True
gpt2-codegolf__xwgYWeT,gpt2-codegolf,terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,0,51,0.294,0.039,0.02,False
custom-memory-heap-crash__xFmX4Lh,custom-memory-heap-crash,openhands,gemini-2.5-pro@gemini,0,61,0.148,0.245,0.033,False
fix-code-vulnerability__BnGFtQJ,fix-code-vulnerability,mini-swe-agent,gemini-2.5-pro@gemini,1,18,0.222,0.056,0.056,True
db-wal-recovery__VW5szwf,db-wal-recovery,openhands,gpt-5@openai,0,45,0.0,0.044,0.022,False
compile-compcert__2mVNrtm,compile-compcert,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,0,60,0.0,0.017,0.017,False
compile-compcert__EjguQFd,compile-compcert,terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,1,40,0.425,0.026,0.05,False
llm-inference-batching-scheduler__hXKv45P,llm-inference-batching-scheduler,mini-swe-agent,grok-4-0709@xai,0,30,0.133,0.033,0.1,False
git-leak-recovery__WDs88Ax,git-leak-recovery,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,1,56,0.0,0.036,0.018,False
largest-eigenval__fVXcPQ3,largest-eigenval,codex,gpt-5-nano@openai,0,17,0.059,0.059,0.353,True
fix-ocaml-gc__5dhX2a6,fix-ocaml-gc,openhands,claude-opus-4-1-20250805@anthropic,0,252,0.123,0.128,0.004,False
gpt2-codegolf__Mio8vv7,gpt2-codegolf,openhands,gpt-5-nano@openai,0,18,0.0,0.118,0.167,True
bn-fit-modify__oGeZcUs,bn-fit-modify,claude-code,claude-sonnet-4-5-20250929@anthropic,1,49,0.347,0.041,0.469,False
cobol-modernization__YLaWeNQ,cobol-modernization,openhands,claude-opus-4-1-20250805@anthropic,1,108,0.019,0.038,0.009,False
chess-best-move__b8TPawN,chess-best-move,gemini-cli,gemini-2.5-pro@gemini,0,6,0.0,0.25,0.667,True
kv-store-grpc__rjmSM5N,kv-store-grpc,claude-code,claude-sonnet-4-5-20250929@anthropic,0,45,0.156,0.044,0.444,False
fix-code-vulnerability__HUyvpna,fix-code-vulnerability,claude-code,claude-haiku-4-5-20251001@anthropic,0,130,0.338,0.015,0.431,False
headless-terminal__xqYbayw,headless-terminal,codex,gpt-5-mini@openai,1,14,0.0,0.071,0.286,True
hf-model-inference__uDGpjrJ,hf-model-inference,mini-swe-agent,gemini-2.5-flash@gemini,0,106,0.066,0.151,0.009,False
filter-js-from-html__YpQuidd,filter-js-from-html,claude-code,claude-haiku-4-5-20251001@anthropic,0,24,0.167,0.083,0.625,True
mailman__Hbif6Wh,mailman,terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,0,176,0.0,0.011,0.006,False
git-leak-recovery__cyzvbUj,git-leak-recovery,claude-code,claude-opus-4-5-20251101@anthropic,1,21,0.0,0.095,0.476,True
feal-differential-cryptanalysis__CYcLBhG,feal-differential-cryptanalysis,terminus-3-3,gemini-3.1-pro-preview@Google,1,14,0.714,0.5,0.143,True
code-from-image__zwF8k44,code-from-image,openhands,grok-4-0709@xai,1,16,0.062,0.067,0.062,True
git-multibranch__joFXtfT,git-multibranch,mini-swe-agent,claude-opus-4-1-20250805@anthropic,1,28,0.214,0.036,0.036,True
caffe-cifar-10__V78tL9o,caffe-cifar-10,claude-code,claude-sonnet-4-5-20250929@anthropic,1,97,0.412,0.021,0.433,False
install-windows-3.11__dnRdfxN,install-windows-3.11,codex,gpt-5@openai,0,25,0.08,0.04,0.16,True
install-windows-3.11__cZE7RCu,install-windows-3.11,terminus-2,claude-opus-4-5-20251101@anthropic,1,72,0.472,0.014,0.0,False
feal-differential-cryptanalysis__LwwcdWJ,feal-differential-cryptanalysis,deepagent-harbor,gpt-5.2-codex@openai,1,23,0.13,0.333,0.13,True
extract-moves-from-video__WGwqbPM,extract-moves-from-video,gemini-cli,gemini-2.5-flash@gemini,0,53,0.472,0.5,0.038,True
count-dataset-tokens__348bkZ2,count-dataset-tokens,terminus-3-3,claude-opus-4-6@anthropic,1,33,0.364,1.0,0.03,True
compile-compcert__ArM52Gs,compile-compcert,codex,gpt-5@openai,1,51,0.412,0.02,0.078,False
distribution-search__J8mzekk,distribution-search,gemini-cli,gemini-2.5-pro@gemini,1,15,0.267,0.067,0.133,True
make-doom-for-mips__9vKMC3p,make-doom-for-mips,claude-code,claude-opus-4-5-20251101@anthropic,0,217,0.433,0.009,0.364,False
crack-7z-hash__shYp6jW,crack-7z-hash,terminus-3-3,gemini-3.1-pro-preview@Google,0,38,0.447,1.0,0.026,True
fix-git__w3eao5V,fix-git,judy,claude-opus-4.6@anthropic,1,29,0.034,0.053,0.276,True
gcode-to-text__UYZZqR5,gcode-to-text,deepagent-harbor,gpt-5.2-codex@openai,1,39,0.436,0.333,0.077,False
crack-7z-hash__rCDPrfU,crack-7z-hash,mini-swe-agent,grok-code-fast-1@xai,0,188,0.048,0.005,0.005,False
configure-git-webserver__nyt3wo4,configure-git-webserver,openhands,claude-haiku-4-5-20251001@anthropic,1,160,0.013,0.226,0.669,False
fix-ocaml-gc__meSok2K,fix-ocaml-gc,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,1,100,0.29,0.01,0.01,False
make-doom-for-mips__msfwye4,make-doom-for-mips,codex,gpt-5@openai,0,84,0.417,0.012,0.06,False
caffe-cifar-10__DcKrhCR,caffe-cifar-10,terminus-3-3,gemini-3.1-pro-preview@Google,0,10,0.8,1.0,0.1,True
build-cython-ext__JSfwCsQ,build-cython-ext,deepagent-harbor,gpt-5.2-codex@openai,1,74,0.257,0.5,0.027,True
cobol-modernization__wX7wSXK,cobol-modernization,gemini-cli,gemini-2.5-pro@gemini,0,77,0.13,0.026,0.026,False
custom-memory-heap-crash__yBdETxK,custom-memory-heap-crash,gemini-cli,gemini-2.5-pro@gemini,1,30,0.3,0.067,0.1,False
fix-ocaml-gc__HuwHNuD,fix-ocaml-gc,claude-code,claude-haiku-4-5-20251001@anthropic,1,150,0.347,0.013,0.433,False
gcode-to-text__oWCP832,gcode-to-text,deepagent-harbor,gpt-5.2-codex@openai,0,45,0.333,0.5,0.044,True
filter-js-from-html__ifwJPMG,filter-js-from-html,terminus-2,claude-haiku-4-5-20251001@anthropic,0,6,0.5,0.167,0.167,True
cancel-async-tasks__5xvwu4E,cancel-async-tasks,terminus-2,openai/gpt-oss-120b@together_ai,1,3,0.0,0.333,0.333,True
gcode-to-text__JBiEDyA,gcode-to-text,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,0,20,0.35,0.05,0.05,True
git-multibranch__3WVT9ST,git-multibranch,terminus-2,gpt-5-nano@openai,0,26,0.731,0.038,0.038,True
count-dataset-tokens__ogoMy9g,count-dataset-tokens,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,0,66,0.0,0.048,0.015,False
extract-elf__sNaKutr,extract-elf,mini-swe-agent,gpt-5-mini@openai,1,5,0.2,0.2,0.2,True
headless-terminal__LpzAHtP,headless-terminal,openhands,claude-sonnet-4-5-20250929@anthropic,0,40,0.15,0.028,0.025,False
feal-linear-cryptanalysis__jbbLGgC,feal-linear-cryptanalysis,terminus-2,openai/gpt-oss-20b@together_ai,0,85,0.0,0.038,0.353,False
fix-ocaml-gc__WqE4jSf,fix-ocaml-gc,terminus-2,gpt-5@openai,1,30,0.933,0.033,0.033,True
largest-eigenval__SE8XL85,largest-eigenval,mini-swe-agent,gemini-2.5-pro@gemini,0,31,0.129,0.032,0.032,False
